AtcoCode,Bearing,CommonName,CreationDateTime,GrandParentLocalityName,Indicator,Landmark,LocalityName,ModificationDateTime,NaptanCode,Notes,NptgLocalityCode,ParentLocalityName,ShortCommonName,StopType,Street
1800WKH1491,NE,Spencer Road (NW bound - to def rte),2010-05-07T00:00:00,,Whitley Crescent,WHITLEY CRES,Whitley,2010-05-07T00:00:00,,DIRECTION AMENDED,E0029543,Wigan,,BCT,SPENCER ROAD
1800WKH3231,W,Spencer Road West,2010-05-22T00:00:00,,Spencer Road,SPENCER ROAD,Beech Hill,2010-05-22T00:00:00,,REMOVED,E0028535,Wigan,,BCT,SPENCER RD WEST
1800WKH3232,E,Spencer Road West,2010-05-22T00:00:00,,Spencer Road,SPENCER ROAD,Beech Hill,2010-05-22T00:00:00,,REMOVED,E0028535,Wigan,,BCT,SPENCER RD WEST
1800WK06111,W,Spencer's Ln,2015-02-06T00:00:00,,opp,RESTURANT,Orrell Post,2015-02-06T00:00:00,MANPTMTJ,NAME AMENDED,N0075110,Orrell,Spencer's Ln,BCT,ORRELL RD
1800WK03791,E,Spencer's Ln,2015-02-06T00:00:00,,nr,HOUSE 294,Orrell Post,2015-02-06T00:00:00,MANPTAPW,NAME AMENDED,N0075110,Orrell,Spenver's Ln,BCT,ORRELL RD
1800SG10311,S,Spey House,2014-02-17T00:00:00,,o/s,SPEY HOUSE,North Reddish,2014-02-17T00:00:00,MANJDJDG,INDICATOR AMENDED,E0029156,Reddish,Spey House,BCT,GORTON RD
1800SG10321,N,Spey House,2014-02-17T00:00:00,,opp,FLATS 29-32,North Reddish,2014-02-17T00:00:00,MANJDJDJ,INDICATOR AMENDED,E0029156,Reddish,Spey House,BCT,GORTON RD
1800WK31641,E,Spice Lounge,2007-11-01T00:00:00,,o/s,SPICE LOUNGE,Tyldesley,2007-11-01T00:00:00,MANTAJDT,,E0029477,Leigh,Spice Lounge,BCT,SALE LN
1800WK31631,W,Spice Lounge,2007-11-01T00:00:00,,opp,SPICE LOUNGE,Tyldesley,2007-11-01T00:00:00,MANTAJDP,,E0029477,Leigh,Spice Lounge,BCT,SALE LN
1800WK36981,E,Spinners Arms,2007-11-01T00:00:00,,nr,FLATS 50-58,Firs Lane,2007-11-01T00:00:00,MANTDGAW,,N0077438,Leigh,Spinners Arms,BCT,FIRS LN
