AtcoCode,Bearing,CommonName,CreationDateTime,GrandParentLocalityName,Indicator,Landmark,LocalityName,ModificationDateTime,NaptanCode,Notes,NptgLocalityCode,ParentLocalityName,StopType,Street
1800EDH3781,NW, Bridge Street (NW Bnd),2010-10-13T00:00:00,,Nr Hse 130,Carr Lane/ Bridge Street (NW Bnd),Uppermill,2010-10-13T00:00:00,,,E0029480,,BCT,CARR LANE
1800WKH4032,S, Churchlands Lane,2007-11-01T00:00:00,,Churchlands La,CHURCHLANDS LA,Standish,2007-11-01T00:00:00,,,E0029368,Wigan,BCT,COPELAND DRIVE
1800WK02442,SE,1800ZZMALDY2,2006-01-20T00:00:00,Wigan,Towards Wigan/Standish,SENNICAR LANE,Haigh,2006-01-20T00:00:00,,,E0052676,Aspull,BCT,School Lane
1800SG44991,E,A34 Bridge,2014-02-17T00:00:00,,adj,HOUSE 61,Heald Green,2014-02-17T00:00:00,MANJMGMW,INDICATOR AMENDED,N0075002,,BCT,ETCHELLS RD
1800SGH2781,S,A34 Roundabout (to def rte),2007-11-01T00:00:00,,Handforth Bypas,HANDFORTH BYPAS,Gillbent,2007-11-01T00:00:00,,,E0028438,Cheadle Hulme,BCT,STANLEY ROAD
1800SGH2782,N,A34 Roundabout (to def rte),2007-11-01T00:00:00,,Handforth Bypas,HANDFORTH BYPAS,Gillbent,2007-11-01T00:00:00,,,E0028438,Cheadle Hulme,BCT,STANLEY ROAD
1800WA02631,S,A6 Bypass,2014-10-14T00:00:00,,nr,HOUSE 74,Blackrod,2014-10-14T00:00:00,MANJWGAM,INDICATOR AMENDED,E0052666,,BCT,CHORLEY ROAD
1800WA02701,N,A6 Bypass,2014-10-14T00:00:00,,opp,,Blackrod,2014-10-14T00:00:00,MANJWGAT,INDICATOR AMENDED,E0052666,,BCT,CHORLEY ROAD
1800WAH1041,NE,A6027 (eastbd)(to def rte),2010-03-29T00:00:00,,Chorley Road,CHORLEY ROAD,Cooper Turning,2010-03-29T00:00:00,,NAME AMENDE,E0028276,Four Gates,BCT,A6027
1800WAH1051,SW,A6027 (westbound)(to def rte),2010-03-29T00:00:00,,Chorley Rd,CHORLEY ROAD,Cooper Turning,2010-03-29T00:00:00,,NAME AMENDED,E0028276,Four Gates,BCT,A6027
1800WAH1091,NW,A6027 R'about (to def rte),2007-11-01T00:00:00,,A6027,A6027,Middlebrook,2007-11-01T00:00:00,,,N0075079,Horwich,BCT,BURNDEN WAY
1800WAH1092,SE,A6027 R'about (to def rte),2007-11-01T00:00:00,,A6027,A6027,Middlebrook,2007-11-01T00:00:00,,,N0075079,Horwich,BCT,BURNDEN WAY
1800EDH2141,NE,A62 e'bnd (to define route),2008-07-18T00:00:00,,Standedge Rd Op,STANDEDGE RD OP,Diggle,2008-07-18T00:00:00,,NAME AMENDED,E0028339,,BCT,HUDDERSFIELD RD
1800EDH2201,E,A62 e'bnd (to define route),2008-07-18T00:00:00,,Hudd'fld Rd Opp,HUDD'FLD RD OPP,Diggle,2008-07-18T00:00:00,,NAME AMENDED,E0028339,,BCT,HUDDERSFIELD RD
1800EDH2161,SE,A62 eastbnd(to define route),2008-06-03T00:00:00,,Nr Globe Farm,NR GLOBE FARM,Diggle,2008-06-03T00:00:00,,INDICATOR AMENDED,E0028339,,BCT,HUDDERSFIELD RD
1800EDH2191,E,A62 westbnd(to define route),2007-11-01T00:00:00,,None,Hudd'fd Rd/A62 westbnd(to define route),Diggle,2007-11-01T00:00:00,,,E0028339,,BCT,HUDDERSFIELD RD
1800EDH2151,SW,A62 westbnd(to define route),2007-11-01T00:00:00,,Standedge Road,STANDEDGE ROAD,Diggle,2007-11-01T00:00:00,,,E0028339,,BCT,HUDDERSFIELD RD
1800EDH2211,W,A62 westbnd(to define route),2007-11-01T00:00:00,,Huddersfield Rd,HUDDERSFIELD RD,Diggle,2007-11-01T00:00:00,,,E0028339,,BCT,HUDDERSFIELD RD
1800EDH3311,S,A627 (M) (to define route),2007-11-01T00:00:00,,Nr Field,A627 (M) (to define route),Royley,2007-11-01T00:00:00,,,E0029277,Royton,BCT,A627 (M)
1800NEH4101,S,A627 (M) Southbound (to define route),2007-11-01T00:00:00,,Nr Field,A627 (M) Southbound (to define route),Kirkholt,2007-11-01T00:00:00,,,E0028910,Rochdale,BCT,A627
1800NEH0492,W,A627 Slattocks Link Rd (to def route),2008-08-19T00:00:00,,None,A627 Slattocks Link Rd (to def route),Stakehill,2008-08-19T00:00:00,,NAME AMENDED,E0029365,Middleton,BCT,A627 LINK ROAD
1800NEH0491,S,A627 Slattocks Link Rd (to def route),2008-08-19T00:00:00,,None,A627 Slattocks Link Rd (to def route),Stakehill,2008-08-19T00:00:00,,NAME AMENDED,E0029365,Middleton,BCT,A627 LINK ROAD
1800ED02491,NE,A627M,2010-04-15T00:00:00,,opp,MOTORWAY BRIDGE,Street Bridge,2010-04-15T00:00:00,MANAJWMG,INDICATOR AMENDED,E0029385,Royton,BCT,STREETBRIDGE
1800ED02481,SW,A627M,2010-04-15T00:00:00,,o/s,MOTORWAY BRIDGE,Street Bridge,2010-04-15T00:00:00,MANAJWMD,INDICATOR AMENDED,E0029385,Royton,BCT,STREETBRIDGE
1800NEH0501,N,A627M Slip Road (to def rte),2010-03-29T00:00:00,,Slattocks Link,SLATTOCKS LINK,Stakehill,2010-03-29T00:00:00,,NAME AMENDED,E0029365,Middleton,BCT,A627M SLIP RD
1800WAH2841,NW,A666 (Nbd - to define route),2007-11-01T00:00:00,,None,A666 (Nbd - to define route),Farnworth,2007-11-01T00:00:00,,,E0028392,,BCT,FARNWTH & K.B/P
1800WAH2831,NW,A666 (Nbd - to define route),2007-11-01T00:00:00,,Bolton Rd Slip,BOLTON RD SLIP,Burnden,2007-11-01T00:00:00,,,E0028654,Bolton,BCT,ST PETER'S WAY
1800WAH2851,SE,A666 (Sbd - to define route),2007-11-01T00:00:00,,None,A666 (Sbd - to define route),Farnworth,2007-11-01T00:00:00,,,E0028392,,BCT,FARNWTH & K.B/P
1800WAH2261,NE,A666 link (Nbd - to define route),2009-01-12T00:00:00,,Juntion 3,JUNCTION 3,Kearsley,2009-01-12T00:00:00,,INDICATOR AMENDED,E0028898,Farnworth,BCT,M61-A666 LINK
1800SBH1321,N,Abberton Rd (NWbd),2007-11-01T00:00:00,,NE-bound,Abberton Rd (NWbd),Withington,2007-11-01T00:00:00,,,E0029558,Manchester,BCT,ABBERTON ROAD
1800SBH1322,S,Abberton Road,2015-10-14T00:00:00,,Sandhurst Ave,SANDHURST AVE,Withington,2015-10-14T00:00:00,,,E0029558,Manchester,BCT,ABBERTON ROAD
1800NC23271,W,Abbey Cl,2007-11-01T00:00:00,Bury,nr,HOUSE 61,Bolton Road Estate,2007-11-01T00:00:00,MANDTAPW,,N0074899,Radcliffe,BCT,TURKS RD
1800NF29041,W,Abbey Gr,2007-11-01T00:00:00,,nr,THE ASCOTT HTL,Eccles,2007-11-01T00:00:00,MANGMGAJ,,E0028369,Salford,BCT,HALF EDGE LN
1800EHH2121,N,Abbey Hey Lane (N bnd),2010-06-03T00:00:00,Manchester,nr house 229,VIOLET ST,Abbey Hey,2010-06-03T00:00:00,,,E0028241,Gorton,BCT,ABBEY HEY LANE
1800EBH0501,S,Abbey Hey Lane (Sbnd),2010-06-03T00:00:00,Manchester,,ACKROYD ST,Abbey Hey,2010-06-03T00:00:00,,DIRECTION AMENDED,E0028241,Gorton,BCT,ABBEY HEY LN
1800EBH2031,N,Abbey Hey Ln (Nbnd),2010-06-03T00:00:00,Manchester,,VIOLET ST,Abbey Hey,2010-06-03T00:00:00,,,E0028241,Gorton,BCT,ABBEY HEY LN
1800WK35651,N,Abbey Ln,2007-11-01T00:00:00,,nr,,Abbey Lane,2007-11-01T00:00:00,MANTAWDJ,,N0074874,Leigh,BCT,WESTLEIGH LN
1800WK35661,S,Abbey Ln,2008-03-26T00:00:00,,opp,HOUSE 218,Abbey Lane,2008-03-26T00:00:00,MANTAWDM,INDICATOR AMENDED,N0074874,Leigh,BCT,WESTLEIGH LN
1800WK08681,N,Abbey Ln,2014-02-13T00:00:00,,nr,HOUSE 22,Abbey Lane,2014-02-13T00:00:00,MANPWDGM,indicator amended,N0074874,Leigh,BCT,WARLOW DR
1800NE41031,W,Abbey Rd,2007-11-01T00:00:00,,opp,HOUSE 24,Hollins,2007-11-01T00:00:00,MANGDPDM,,N0075013,Middleton,BCT,TINTERN RD
1800NE03011,E,Abbey Rd,2007-11-01T00:00:00,,nr,HOUSE 32,Hollins,2007-11-01T00:00:00,MANDWGMA,,N0075013,Middleton,BCT,TINTERN RD
1800ED08841,SW,Abbeyhills Rd,2010-04-15T00:00:00,,nr,,Holts,2010-04-15T00:00:00,MANAMGDJ,INDICATOR AMENDED,E0028846,,BCT,LEES NEW RD
1800ED08791,S,Abbeyhills Rd,2007-11-01T00:00:00,,nr,HOUSE 10,Pitses,2007-11-01T00:00:00,MANAMGAP,,E0029209,Abbey Hills,BCT,ALT LN
1800ED08421,N,Abbeyhills Rd,2007-11-01T00:00:00,,adj,O/S HOUSE 13,Pitses,2007-11-01T00:00:00,MANTGMPG,,E0029209,Abbey Hills,BCT,ALT LN
1800ED08792,N,Abbeyhills Road,2006-05-24T00:00:00,,Towards Oldham,ABBEYHILLS ROAD,Pitses,2006-05-24T00:00:00,,,E0029209,Abbey Hills,BCT,Alt Lane
1800ED19141,NW,Abbotsford Rd,2007-11-01T00:00:00,,nr,HOUSE 102,Derker,2007-11-01T00:00:00,MANAPWGD,,E0028333,Oldham,BCT,VULCAN ST
1800EDH2522,SE,Abbotsford Street,2007-11-01T00:00:00,,Abbotsford St,ABBOTSFORD ST,Derker,2007-11-01T00:00:00,,,E0028333,Oldham,BCT,STONELEIGH ST
1800NE03401,N,Abbott St,2007-11-01T00:00:00,Rochdale,nr,HOUSE 560,Castleton Moor,2007-11-01T00:00:00,MANDWJDT,,N0074934,Sudden,BCT,MANCHESTER RD
1800NEH0231,NW,Abbott St (NW bnd),2011-01-26T00:00:00,Rochdale,nr Harry St,Abbott St (NW bnd),Castleton Moor,2011-01-26T00:00:00,,LOCATION AMENDED,N0074934,Sudden,BCT,ABBOTT ST
1800NEH0102,NW,Abbott Street,2007-11-01T00:00:00,Rochdale,Ajax Street,AJAX STREET,Castleton Moor,2007-11-01T00:00:00,,,N0074934,Sudden,BCT,ABBOTT STREET
1800NEH0101,SE,Abbott Street (SE bnd),2007-11-01T00:00:00,Rochdale,Ajax Street,AJAX STREET,Castleton Moor,2007-11-01T00:00:00,,,N0074934,Sudden,BCT,ABBOTT STREET
1800NCH2062,W,Abden Street,2007-11-01T00:00:00,,Ulundi Street,ULUNDI STREET,Radcliffe,2007-11-01T00:00:00,,,E0029232,Bury,BCT,ABDEN STREET
