Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,00:00,3,0,3,3,0,3,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,01:00,6,0,6,6,0,6,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,02:00,1,0,1,1,0,1,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,03:00,30,0,30,30,0,30,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,04:00,20,0,20,20,0,20,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,05:00,27,0,27,27,0,27,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,06:00,125,0,125,125,0,125,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,07:00,120,0,120,120,0,120,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,08:00,252,0,252,252,0,252,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,09:00,412,0,412,412,0,412,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,10:00,745,0,745,745,0,745,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,11:00,1230,0,1230,1230,0,1230,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,12:00,1477,0,1477,1477,0,1477,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,13:00,1676,0,1676,1676,0,1676,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,14:00,1463,0,1463,1463,0,1463,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,15:00,1370,0,1370,1370,0,1370,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,16:00,1220,0,1220,1220,0,1220,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,17:00,1103,0,1103,1103,0,1103,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,18:00,802,0,802,802,0,802,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,19:00,438,0,438,438,0,438,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,20:00,343,0,343,343,0,343,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,21:00,115,0,115,115,0,115,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,22:00,50,0,50,50,0,50,No Group
Leeds Originals,Albion Street South,2020,August,32,Monday,03-Aug-20,23:00,33,0,33,33,0,33,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,00:00,22,0,22,22,0,22,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,01:00,4,0,4,4,0,4,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,02:00,0,0,0,0,0,0,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,03:00,1,0,1,1,0,1,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,04:00,4,0,4,4,0,4,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,05:00,20,0,20,20,0,20,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,06:00,111,0,111,111,0,111,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,07:00,119,0,119,119,0,119,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,08:00,302,0,302,302,0,302,No Group
